{'name': 'Spain*', 'dem_index': 8.12}: 0.163603182802081
{'name': 'Belarus', 'dem_index': 2.59}: 0.019578068937624007
{'name': 'Costa Rica', 'dem_index': 8.16}: 0.017561256477512634
{'name': 'Nicaragua', 'dem_index': 3.6}: 0.01741941666790525
{'name': 'Saint Kitts and Nevis', 'dem_index': -1}: 0.01643415662392375
{'name': 'Sweden', 'dem_index': 9.26}: 0.014863939328085274
{'name': 'Saudi Arabia', 'dem_index': 2.08}: 0.014268437201768881
{'name': 'Uzbekistan', 'dem_index': 2.12}: 0.013522929106644956
{'name': 'Dominica', 'dem_index': -1}: 0.013035563908202501
{'name': 'Malaysia*', 'dem_index': 7.19}: 0.01167994498629064
{'name': 'Kuwait', 'dem_index': 3.8}: 0.011660948850632957
{'name': 'Angola', 'dem_index': 3.66}: 0.01146353566775704
{'name': 'Zambia', 'dem_index': 4.86}: 0.010960058004392977
{'name': 'United Arab Emirates', 'dem_index': 2.7}: 0.010910370921838712
{'name': 'Anguilla*', 'dem_index': -1}: 0.010853774468520089
{'name': 'Australia*', 'dem_index': 8.96}: 0.010834401096319493
{'name': 'Argentina', 'dem_index': 6.95}: 0.010281191466692706
{'name': 'Sudan', 'dem_index': 2.54}: 0.010274895901793623
{'name': 'Philippines', 'dem_index': 6.56}: 0.01025804472018401
{'name': 'Ireland', 'dem_index': 9.05}: 0.00873051349228668
{'name': 'Canada', 'dem_index': 9.24}: 0.008681478880927563
{'name': 'Lebanon', 'dem_index': 4.16}: 0.008658561152613582
{'name': 'Republic of Korea', 'dem_index': 8.01}: 0.00859659859533908
{'name': 'Belgium', 'dem_index': 7.51}: 0.008582892753365408
{'name': '"   China Hong Kong SAR*"', 'dem_index': -1}: 0.00853130546018477
{'name': 'Saint Vincent and the Grenadines', 'dem_index': -1}: 0.00836096328287327
{'name': 'Jamaica', 'dem_index': 7.13}: 0.00833377760717662
{'name': 'Benin', 'dem_index': 4.58}: 0.007980310166682367
{'name': 'Micronesia (Fed. States of)', 'dem_index': -1}: 0.00783852752847247
{'name': 'Bulgaria', 'dem_index': 6.71}: 0.007429136168982485
{'name': 'Mozambique', 'dem_index': 3.51}: 0.007367627241395715
{'name': 'Palau', 'dem_index': -1}: 0.00672933364388081
{'name': 'Hungary', 'dem_index': 6.56}: 0.0064983501578430355
{'name': 'India', 'dem_index': 6.61}: 0.006457249183849041
{'name': 'Kazakhstan', 'dem_index': 3.14}: 0.0059827383187213
{'name': 'Jordan', 'dem_index': 3.62}: 0.00594420877952428
{'name': 'Uganda', 'dem_index': 4.94}: 0.005713898247887856
{'name': 'Zimbabwe', 'dem_index': 3.16}: 0.005326470874500431
{'name': 'Austria', 'dem_index': 8.16}: 0.005096972359527748
{'name': 'South Africa', 'dem_index': 7.05}: 0.005063795554744216
{'name': 'China*', 'dem_index': 2.27}: 0.005032972052536539
{'name': 'British Virgin Islands*', 'dem_index': -1}: 0.004978194871349584
{'name': 'Guyana', 'dem_index': 6.01}: 0.004952357553958539
{'name': 'Samoa', 'dem_index': -1}: 0.00490483163620388
{'name': 'Senegal', 'dem_index': 5.67}: 0.004864491550038183
{'name': 'Chad', 'dem_index': 1.55}: 0.004766066126903565
{'name': 'Ghana', 'dem_index': 6.5}: 0.004365156685054084
{'name': 'Singapore', 'dem_index': 6.03}: 0.004296057503461155
{'name': 'Iraq', 'dem_index': 3.62}: 0.004276500514662707
{'name': 'Northern Mariana Islands*', 'dem_index': -1}: 0.00419211615332305
{'name': 'French Polynesia*', 'dem_index': -1}: 0.004052946206859104
{'name': 'Peru', 'dem_index': 6.53}: 0.004040564558925508
{'name': 'Netherlands*', 'dem_index': 8.96}: 0.004024313694720582
{'name': 'Cyprus*', 'dem_index': 7.56}: 0.0039380641912815685
{'name': 'Niger', 'dem_index': 3.29}: 0.003784146214452974
{'name': 'United States of America*', 'dem_index': 7.92}: 0.0037354686804121746
{'name': 'Saint Lucia', 'dem_index': -1}: 0.0034564037950737462
{'name': 'Chile', 'dem_index': 8.28}: 0.0033116915324147744
{'name': 'Latvia', 'dem_index': 7.24}: 0.002707116604628283
{'name': 'Sri Lanka', 'dem_index': 6.14}: 0.0025989905398212613
{'name': 'Fiji', 'dem_index': 5.72}: 0.002581430952736371
{'name': 'Cameroon', 'dem_index': 2.77}: 0.002572072256913278
{'name': 'Egypt', 'dem_index': 2.93}: 0.0024750951984250915
{'name': 'Guadeloupe*', 'dem_index': -1}: 0.002449237270665842
{'name': 'Rwanda', 'dem_index': 3.1}: 0.0024239682637857735
{'name': 'Finland*', 'dem_index': 9.2}: 0.0023790467154215463
{'name': 'Syrian Arab Republic', 'dem_index': 1.43}: 0.002359749048007369
{'name': 'Iceland', 'dem_index': 9.37}: 0.002226314118947348
{'name': 'El Salvador', 'dem_index': 5.9}: 0.002197697498302066
{'name': 'Lithuania', 'dem_index': 7.13}: 0.0021077218563866945
{'name': 'Indonesia', 'dem_index': 6.3}: 0.0020544907699240438
{'name': 'Guatemala', 'dem_index': 4.97}: 0.002053426972258141
{'name': 'New Zealand*', 'dem_index': 9.25}: 0.0020088662479043396
{'name': 'Gambia', 'dem_index': 4.49}: 0.0020061172448655657
{'name': 'Bahrain', 'dem_index': 2.49}: 0.001971829349516318
{'name': 'Belize', 'dem_index': -1}: 0.00196730743920623
{'name': 'Bolivia (Plurinational State of)', 'dem_index': 5.08}: 0.0019602157050376927
{'name': 'Czechia', 'dem_index': 7.67}: 0.0019531015647490902
{'name': 'Gabon', 'dem_index': 3.54}: 0.0019397595094527472
{'name': 'Mauritania', 'dem_index': 3.92}: 0.0019379718339965284
{'name': 'Qatar', 'dem_index': 3.24}: 0.0018792932439092307
{'name': 'Togo', 'dem_index': 2.8}: 0.00176659963661755
{'name': 'Denmark*', 'dem_index': 9.15}: 0.0016340584799857982
{'name': 'Estonia', 'dem_index': 7.84}: 0.001623236518285143
{'name': 'American Samoa*', 'dem_index': -1}: 0.0015778829818238684
{'name': 'Thailand', 'dem_index': 6.04}: 0.0015687531543442871
{'name': 'Burkina Faso', 'dem_index': 3.73}: 0.0015200196063450467
{'name': 'Luxembourg', 'dem_index': 8.68}: 0.0014961092105645064
{'name': 'Burundi', 'dem_index': 2.14}: 0.0013518808777429477
{'name': 'Montserrat*', 'dem_index': -1}: 0.001286126070608829
{'name': 'Nepal', 'dem_index': 5.22}: 0.00127404410039878
{'name': 'Ecuador', 'dem_index': 6.13}: 0.0012487871324078218
{'name': 'Nauru', 'dem_index': -1}: 0.001226849357682907
{'name': 'New Caledonia*', 'dem_index': -1}: 0.0011778229555603043
{'name': 'Marshall Islands', 'dem_index': -1}: 0.0010599763883994999
{'name': 'Bahamas', 'dem_index': -1}: 0.0010178758023585608
{'name': 'Pakistan', 'dem_index': 4.31}: 0.000953646257749482
{'name': 'Kenya', 'dem_index': 5.05}: 0.0009254504286412033
{'name': 'Algeria', 'dem_index': 3.77}: 0.0008359315275459476
{'name': 'Honduras', 'dem_index': 5.36}: 0.0007378499989337426
{'name': 'Tonga', 'dem_index': -1}: 0.0007065367706881365
{'name': 'Oman', 'dem_index': 3.0}: 0.000670806719983836
{'name': 'Aruba*', 'dem_index': -1}: 0.0006067905614479729
{'name': 'Kiribati', 'dem_index': -1}: 0.0005990422759875549
{'name': 'Turkey', 'dem_index': 4.48}: 0.0005326364097862095
{'name': 'Sierra Leone', 'dem_index': 4.86}: 0.0004998020154200181
{'name': 'Slovakia', 'dem_index': 6.97}: 0.00045359297906319846
{'name': 'Croatia', 'dem_index': 6.5}: 0.0004505158907868267
{'name': 'Armenia', 'dem_index': 5.35}: 0.00044747396124467326
{'name': 'Cabo Verde', 'dem_index': 7.65}: 0.00043630922493439285
{'name': 'Barbados', 'dem_index': -1}: 0.0003963144819056148
{'name': 'Equatorial Guinea', 'dem_index': 1.92}: 0.0003428905522501581
{'name': 'Malawi', 'dem_index': 5.74}: 0.0003418242950262653
{'name': 'Turks and Caicos Islands*', 'dem_index': -1}: 0.0003261266192300675
{'name': 'Serbia*', 'dem_index': 6.22}: 0.0003185154005239093
{'name': 'Viet Nam', 'dem_index': 2.94}: 0.00031396832505206884
{'name': 'Liberia', 'dem_index': 5.32}: 0.00030295773830256586
{'name': 'Sao Tome and Principe', 'dem_index': -1}: 0.00028166961664498607
{'name': 'French Guiana*', 'dem_index': -1}: 0.0002813364112625196
{'name': 'Bosnia and Herzegovina', 'dem_index': 4.84}: 0.00026802367823415736
{'name': 'Trinidad and Tobago', 'dem_index': 7.16}: 0.00022656257262168594
{'name': 'Cayman Islands*', 'dem_index': -1}: 0.00022502470162568685
{'name': 'Tunisia', 'dem_index': 6.59}: 0.00019343838477291228
{'name': 'Ethiopia', 'dem_index': 3.38}: 0.00018198794399420658
{'name': 'Brunei Darussalam', 'dem_index': -1}: 0.00014623475494501023
{'name': 'Georgia*', 'dem_index': 5.31}: 0.00011400066818786029
{'name': 'Azerbaijan*', 'dem_index': 2.68}: 0.00011001331044434492
{'name': 'Montenegro', 'dem_index': 5.77}: 9.951734089665123e-05
{'name': 'Yemen', 'dem_index': 1.95}: 8.707767328456981e-05
{'name': 'Tokelau*', 'dem_index': -1}: 5.7533462705876496e-05
{'name': 'Nigeria', 'dem_index': 4.1}: 5.535652087376225e-05
{'name': 'Mauritius*', 'dem_index': 8.14}: 5.257980935320837e-05
{'name': 'Greenland*', 'dem_index': -1}: 4.478280340349305e-05
{'name': 'Tajikistan', 'dem_index': 1.94}: 4.105090311986863e-05
{'name': 'Djibouti', 'dem_index': 2.71}: 3.901532114698258e-05
{'name': 'Brazil', 'dem_index': 6.92}: 3.709490588293834e-05
{'name': 'Suriname', 'dem_index': 6.82}: 3.576404438473403e-05
{'name': 'Niue*', 'dem_index': -1}: 2.7989252127183158e-05
{'name': 'United Republic of Tanzania*', 'dem_index': 5.1}: 2.4568343533860775e-05
{'name': 'Paraguay', 'dem_index': 6.18}: 2.452391614953191e-05
{'name': 'Liechtenstein', 'dem_index': -1}: 2.2391401701746525e-05
{'name': 'Colombia', 'dem_index': 7.04}: 1.0884709160571227e-05
{'name': 'Namibia', 'dem_index': 6.52}: 9.329750709061053e-06
{'name': 'Kyrgyzstan', 'dem_index': 4.21}: 9.329750709061053e-06
{'name': 'Cook Islands*', 'dem_index': -1}: 9.329750709061053e-06
{'name': 'Slovenia', 'dem_index': 7.54}: 2.487933522416281e-06
{'name': 'Other', 'dem_index': -1}: 0.0
{'name': 'Comoros', 'dem_index': 3.09}: 0.0
{'name': 'Madagascar', 'dem_index': 5.7}: 0.0
{'name': 'Réunion*', 'dem_index': -1}: 0.0
{'name': 'Somalia', 'dem_index': -1}: 0.0
{'name': 'Eritrea', 'dem_index': 2.15}: 0.0
{'name': 'Japan', 'dem_index': 8.13}: 0.0
{'name': 'Seychelles', 'dem_index': -1}: 0.0
{'name': 'Mayotte*', 'dem_index': -1}: 0.0
{'name': 'Lesotho', 'dem_index': 6.3}: 0.0
{'name': 'Cuba', 'dem_index': 2.84}: 0.0
{'name': 'Maldives', 'dem_index': -1}: 0.0
{'name': 'Central African Republic', 'dem_index': 1.32}: 0.0
{'name': "Dem. People's Republic of Korea", 'dem_index': 1.08}: 0.0
{'name': 'Botswana', 'dem_index': 7.62}: 0.0
{'name': 'Eswatini', 'dem_index': 3.08}: 0.0
{'name': 'Morocco', 'dem_index': 5.04}: 0.0
{'name': 'Western Sahara', 'dem_index': -1}: 0.0
{'name': 'Afghanistan', 'dem_index': 2.85}: 0.0
{'name': 'Myanmar', 'dem_index': 3.04}: 0.0
{'name': 'Gibraltar*', 'dem_index': -1}: 0.0
{'name': 'Iran (Islamic Republic of)', 'dem_index': 2.2}: 0.0
{'name': 'Mexico', 'dem_index': 6.07}: 0.0
{'name': 'Monaco', 'dem_index': -1}: 0.0
{'name': 'Mongolia', 'dem_index': 6.48}: 0.0
{'name': 'Republic of Moldova*', 'dem_index': 5.78}: 0.0
{'name': 'Guinea-Bissau', 'dem_index': 2.63}: 0.0
{'name': 'Turkmenistan', 'dem_index': 1.72}: 0.0
{'name': 'Bermuda*', 'dem_index': -1}: 0.0
{'name': "Lao People's Democratic Republic", 'dem_index': 1.77}: 0.0
{'name': 'Malta', 'dem_index': 7.68}: 0.0
{'name': 'Papua New Guinea', 'dem_index': 6.1}: 0.0
{'name': 'Saint Helena*', 'dem_index': -1}: 0.0
{'name': 'Uruguay', 'dem_index': 8.61}: 0.0
{'name': 'Timor-Leste', 'dem_index': 7.06}: 0.0
{'name': 'Bhutan', 'dem_index': 5.71}: 0.0
{'name': 'Solomon Islands', 'dem_index': -1}: 0.0
{'name': 'Cambodia', 'dem_index': 3.1}: 0.0
{'name': 'Haiti', 'dem_index': 4.22}: 0.0
{'name': '"   China Macao SAR*"', 'dem_index': -1}: 0.0
{'name': 'Isle of Man*', 'dem_index': -1}: 0.0
{'name': 'San Marino', 'dem_index': -1}: 0.0
{'name': 'Vanuatu', 'dem_index': -1}: 0.0
{'name': 'Falkland Islands (Malvinas)*', 'dem_index': -1}: 0.0
{'name': 'Faroe Islands*', 'dem_index': -1}: 0.0
{'name': 'Tuvalu', 'dem_index': -1}: 0.0
{'name': 'Wallis and Futuna Islands*', 'dem_index': -1}: 0.0
{'name': 'Holy See*', 'dem_index': -1}: 0.0
{'name': 'Channel Islands*', 'dem_index': -1}: 0.0
{'name': '"   Bonaire Sint Eustatius and Saba*"', 'dem_index': -1}: 0.0
{'name': 'Curaçao*', 'dem_index': -1}: 0.0
{'name': 'Sint Maarten (Dutch part)*', 'dem_index': -1}: 0.0
{'name': 'Martinique*', 'dem_index': -1}: 0.0
{'name': 'Saint Pierre and Miquelon*', 'dem_index': -1}: 0.0
